# Box 5.1 -- Aged Sample
#
sex tl age
M	100	1
M	111	1
M	114	1
F	99	1
F	104	1
F	120	1
M	250	2
M	255	2
F	250	2
F 	252	2
M	318	3
F	335	3
F	337	3
F	344	3
F	346	3
M	354	3
F	360	3
F	378	3
M	379	3
M	382	3
F	384	3
M	384	4
M	385	4
M	389	4
M	389	4
M	400	4
F	411	4
F	413	4
F	416	4
F	418	4
M	418	4
F	420	4
F	425	4
F	433	4
M	429	5
M	431	5
M	434	5
F	437	5
M	438	5
F	438	5
M	443	5
M	444	5
F	446	5
F	449	5
F	450	6
M	441	6
M	441	6
M	442	6
M	449	6
F	463	7
F	463	7
F	455	8
F	457	8
M	441	8
M	452	9
F	467	9
F	467	9
M	454	9
F	486	9
F	485	10
F	490	10
